name,position,team,projetion
Tyler Warren,TE,IND,138.5
Joshua Karty,K,LA,135.8
Evan McPherson,K,CIN,135.8
Ka'imi Fairbairn,K,HOU,135.7
Pat Bryant,WR,DEN,90.2
Tucker Kraft,TE,GB,137.9
Javonte Williams,RB,DAL,113.1
Younghoe Koo,K,ATL,135
Nick Westbrook-Ikhine,WR,MIA,89.7
Jake Ferguson,TE,DAL,137.4
NY Jets Defense,DEF,NYJ,119.1
Jalen Coker,WR,CAR,89.2
Diontae Johnson,WR,CLE,89.2
Jason Sanders,K,MIA,134.3
Dontayvion Wicks,WR,GB,89
Daniel Carlson,K,LV,134.2
Jaydon Blue,RB,DAL,111.7
Chris Boswell,K,PIT,133.6
Caleb Williams,QB,CHI,267
Cam Little,K,JAC,132.9
Houston Defense,DEF,HOU,118.2
Trey Benson,RB,ARI,110.6
Brock Purdy,QB,SF,266
Dalton Kincaid,TE,BUF,134.3
Will Reichard,K,MIN,131.6
Rico Dowdle,RB,CAR,109.4
Tre Tucker,WR,LV,85.7
Wil Lutz,K,DEN,130.5
Jalen Tolbert,WR,DAL,84.4
Tampa Bay Defense,DEF,TB,116.3
Cleveland Defense,DEF,CLE,116
Detroit Defense,DEF,DET,116
Justin Herbert,QB,LAC,262.3
Ray Davis,RB,BUF,105.7
Jason Myers,K,SEA,127.5
Denver Defense,DEF,DEN,114.1
Green Bay Defense,DEF,GB,114.1
Cairo Santos,K,CHI,126.6
Jared Goff,QB,DET,260.2
Trevor Lawrence,QB,JAC,260.2
Kyle Pitts,TE,ATL,128.5
Atlanta Defense,DEF,ATL,113
Devaughn Vele,WR,DEN,80.3
Seattle Defense,DEF,SEA,112.6
Miami Defense,DEF,MIA,112.6
Jalen Nailor,WR,MIN,80
Cade Otton,TE,TB,127.6
Dak Prescott,QB,DAL,258.9
Zach Ertz,TE,WAS,127.3
Noah Brown,WR,WAS,79
Chicago Defense,DEF,CHI,111.5
Indianapolis Defense,DEF,IND,111.5
Jaylin Noel,WR,HOU,77.7
Isaac Guerendo,RB,SF,100.6
Hunter Henry,TE,NE,124.9
Tank Bigsby,RB,JAC,99.4
Isaiah Likely,TE,BAL,123.8
Graham Gano,K,NYG,121
Minnesota Defense,DEF,MIN,108.3
Josh Reynolds,WR,NYJ,75.4
Roman Wilson,WR,PIT,74.9
Dont'e Thornton,WR,LV,74.9
Brenton Strange,TE,JAC,122.1
Joey Slye,K,TEN,119.6
Jacksonville Defense,DEF,JAC,106.9
Nick Chubb,RB,HOU,97.3
Adonai Mitchell,WR,IND,74
Kareem Hunt,RB,KC,97
Drake Maye,QB,NE,252.9
Chigoziem Okonkwo,TE,TEN,121.3
Dustin Hopkins,K,CLE,118.8
New Orleans Defense,DEF,NO,106.1
LA Rams Defense,DEF,LA,106.1
Justice Hill,RB,BAL,96.6
Jordan Whittington,WR,LA,73.5
Troy Franklin,WR,DEN,73.4
Blake Grupe,K,NO,118.2
J.J. McCarthy,QB,MIN,252
C.J. Stroud,QB,HOU,251.6
Las Vegas Defense,DEF,LV,104.8
Jalen Royals,WR,KC,71.3
NY Giants Defense,DEF,NYG,103.8
Washington Defense,DEF,WAS,103.5
Jerome Ford,RB,CLE,93.5
Malik Washington,WR,MIA,70.2
New England Defense,DEF,NE,102.4
Jordan Love,QB,GB,248.2
Justin Fields,QB,NYJ,248
KaVontae Turpin,WR,DAL,67.9
Elic Ayomanor,WR,TEN,67.8
Dalton Schultz,TE,HOU,114.2
Carolina Defense,DEF,CAR,98.9
Dylan Sampson,RB,CLE,89.4
Parker Washington,WR,JAC,65.6
Mike Gesicki,TE,CIN,113.3
Tennessee Defense,DEF,TEN,97.4
Mike Williams,WR,LAC,64.8
Allen Lazard,WR,NYJ,64.4
Greg Dortch,WR,ARI,64.3
Miles Sanders,RB,DAL,87.1
Curtis Samuel,WR,BUF,63.6
Arizona Defense,DEF,ARI,96.1
Elijah Moore,WR,BUF,62.1
Jahan Dotson,WR,PHI,60.9
Theo Johnson,TE,NYG,108.4
Robert Woods,WR,PIT,59.8
Luke McCaffrey,WR,WAS,59
Marquez Valdes-Scantling,WR,SEA,58.8
Isaac TeSlaa,WR,DET,58.7
Braelon Allen,RB,NYJ,81.5
Tim Patrick,WR,DET,57.8
Demarcus Robinson,WR,SF,57.8
Tua Tagovailoa,QB,MIA,236.6
Jaylen Wright,RB,MIA,79.2
Mason Taylor,TE,NYJ,103.8
Van Jefferson,WR,TEN,56
Juwan Johnson,TE,NO,102.9
Geno Smith,QB,LV,233.9
Matthew Stafford,QB,LA,232.4
Will Shipley,RB,PHI,75.8
Tory Horton,WR,SEA,51.8
Arian Smith,WR,NYJ,51.6
Roschon Johnson,RB,CHI,74.6
Bryce Young,QB,CAR,230.6
Tai Felton,WR,MIN,50.5
MarShawn Lloyd,RB,GB,72.9
Michael Penix,QB,ATL,228.7
Mack Hollins,WR,NE,49.1
Jaylin Lane,WR,WAS,48.9
Chimere Dike,WR,TEN,47.5
Brashard Smith,RB,KC,69.5
Devin Neal,RB,NO,69
Kayshon Boutte,WR,NE,45.7
Jermaine Burton,WR,CIN,45.6
Zack Moss,RB,CIN,68.1
Ty Johnson,RB,BUF,67.4
Savion Williams,WR,GB,44.1
Sam Darnold,QB,SEA,223
Cam Ward,QB,TEN,222.7
Blake Corum,RB,LA,65.6
Kendre Miller,RB,NO,65
Raheem Mostert,RB,LV,64.9
Kalif Raymond,WR,DET,41.1
Olamide Zaccheaus,WR,CHI,40
Jalin Hyatt,WR,NYG,39.7
Jarquez Hunter,RB,LA,61.8
JuJu Smith-Schuster,WR,KC,35.8
Aaron Rodgers,QB,PIT,215.1
Ja'Tavion Sanders,TE,CAR,83.3
Noah Fant,TE,SEA,83.1
Treylon Burks,WR,TEN,34.4
Isaiah Davis,RB,NYJ,57.4
Jordan James,RB,SF,56.7
Alexander Mattison,RB,MIA,56.4
Johnny Wilson,WR,PHI,32.5
Jordan Watkins,WR,SF,32.2
Zay Jones,WR,ARI,31.6
Christian Watson,WR,GB,31.1
Elijah Mitchell,RB,KC,53.8
KeAndre Lambert-Smith,WR,LAC,30.7
Jo'quavioius Marks,RB,HOU,53.5
DJ Giddens,RB,IND,53.4
KhaDarel Hodge,WR,ATL,29.8
Jake Bobo,WR,SEA,29.7
Will Dissly,TE,LAC,76.8
Antonio Gibson,RB,NE,51.8
Noah Gray,TE,KC,76.1
Jaleel McLaughlin,RB,DEN,51.4
Tyler Johnson,WR,NYJ,28.1
Michael Woods,WR,CLE,27.7
Kenneth Gainwell,RB,PIT,50.4
Cole Kmet,TE,CHI,74.7
Cedrick Wilson,WR,NO,25.6
Andres Borregales,K,NE,70.7
Keaton Mitchell,RB,BAL,48.4
Brandon McManus,K,GB,70.3
Terrance Ferguson,TE,LA,72.5
Devin Singletary,RB,NYG,47.4
Tyler Higbee,TE,LA,71.6
Ricky White,WR,SEA,23.4
Tyler Loop,K,BAL,68.3
Bub Means,WR,NO,23
Elijah Arroyo,TE,SEA,70.7
Chad Ryland,K,ARI,68.2
Tyler Conklin,TE,LAC,69.5
Austin Hooper,TE,NE,68.8
Samaje Perine,RB,CIN,44
Derius Davis,WR,LAC,20.9
Greg Zuerlein,K,NYJ,65.7
Tez Johnson,WR,TB,20.4
Emari Demercado,RB,ARI,43.2
Malachi Corley,WR,NYJ,20
John Metchie,WR,HOU,19.8
Jonathan Mingo,WR,DAL,19.5
Emanuel Wilson,RB,GB,42.5
Rondale Moore,WR,MIN,19.2
Jacob Cowing,WR,SF,18.8
Kyle Monangai,RB,CHI,41.5
Sean Tucker,RB,TB,41.5
Michael Mayer,TE,LV,65.8
Jamari Thrash,WR,CLE,18
Sterling Shepard,WR,TB,17.2
Ollie Gordon,RB,MIA,40
Xavier Gipson,WR,NYJ,16.8
Xavier Restrepo,WR,TEN,16.8
Anthony Richardson,QB,IND,196.1
Harold Fannin,TE,CLE,64.1
Kendrick Bourne,WR,NE,16.2
Trevor Etienne,RB,CAR,39.1
Ben Skowronek,WR,PIT,15.9
Kyle Juszczyk,RB,SF,38.2
Jimmy Horn,WR,CAR,14.9
Kalel Mullings,RB,TEN,37.9
Justin Watson,WR,HOU,14.7
Dawson Knox,TE,BUF,62.3
AJ Dillon,RB,PHI,36.4
Jacory Croskey-Merritt,RB,WAS,36.1
Lil'Jordan Humphrey,WR,NYG,12.8
Michael Gallup,WR,WAS,12.8
Devontez Walker,WR,BAL,12.7
David Moore,WR,CAR,12
Tommy Mellott,WR,LV,11.9
DeAndre Carter,WR,CLE,11.8
Konata Mumpfield,WR,LA,11.8
Tylan Wallace,WR,BAL,11.5
Foster Moreau,TE,NO,58.9
Ashton Dulin,WR,IND,11
Scotty Miller,WR,PIT,10.9
Tahj Brooks,RB,CIN,33.7
Devin Duvernay,WR,CHI,10.4
Xavier Weaver,WR,ARI,10.2
Jalen Brooks,WR,DAL,10
K.J. Osborn,WR,WAS,10
Audric Estime,RB,DEN,32.9
Trent Sherfield,WR,DEN,9.6
Xavier Hutchinson,WR,HOU,9.4
Khalil Herbert,RB,IND,32.4
Kaden Prather,WR,BUF,9.2
Hunter Renfrow,WR,CAR,9.2
Tim Jones,WR,MIN,9.2
Terrace Marshall,WR,PHI,9.1
Parris Campbell,WR,DAL,9
Simi Fehoko,WR,ARI,8.9
Sincere McCormick,RB,LV,31.9
Dameon Pierce,RB,HOU,31.8
Bo Melton,WR,GB,8.4
Ainias Smith,WR,PHI,8.3
Trey Palmer,WR,TB,8.2
Jeremy McNichols,RB,WAS,31.1
Charlie Jones,WR,CIN,8
Donovan Peoples-Jones,WR,NO,7.8
Brandon Johnson,WR,PIT,7.7
Nikko Remigio,WR,KC,7.7
Chris Moore,WR,WAS,7.7
Ja'Lynn Polk,WR,NE,7.7
Isaiah Williams,WR,CIN,7.5
David Bell,WR,CLE,7.5
Ryan Flournoy,WR,DAL,7.5
LaJohntay Wester,WR,BAL,7.4
Austin Trammell,WR,JAC,7.3
Jha'Quan Jackson,WR,TEN,7.3
Ihmir Smith-Marsette,WR,NYG,7.2
Javon Baker,WR,NE,7
Tyler Scott,WR,CHI,6.9
Russell Gage,WR,SF,6.7
Mecole Hardman,WR,GB,6.4
D'Wayne Eskridge,WR,MIA,6.1
Laviska Shenault,WR,BUF,5.9
Skyy Moore,WR,KC,5.8
Anthony Gould,WR,IND,5.3
Trenton Irwin,WR,JAC,5.2
Joshua Cephus,WR,JAC,5.1
Erik Ezukanma,WR,MIA,5.1
Kevin Austin,WR,NO,5.1
Jalen Reagor,WR,LAC,5
Dominic Lovett,WR,DET,4.9
Malik Heath,WR,GB,4.9
Nathaniel Dell,WR,HOU,4.9
Mason Tipton,WR,NO,4.9
Junior Bergen,WR,SF,4.9
Tyquan Thornton,WR,KC,4.8
Collin Johnson,WR,LV,4.8
Tahj Washington,WR,MIA,4.8
Bryce Ford-Wheaton,WR,NYG,4.8
Cam Akers,RB,NO,27.8
Xavier Smith,WR,LA,4.7
K.J. Hamler,WR,BUF,4.6
Laquon Treadwell,WR,IND,4.6
Ryan Miller,WR,TB,4.6
Brenden Rice,WR,LAC,4.6
D.J. Montgomery,WR,IND,4.5
Kameron Johnson,WR,TB,4.5
Cordarrelle Patterson,RB,PIT,27.5
Dareke Young,WR,SEA,4.4
Gunner Olszewski,WR,NYG,4.4
Steven Sims,WR,SEA,4.4
Colton Dowell,WR,TEN,4.4
Kyle Philips,WR,LV,4.3
Casey Washington,WR,ATL,4.2
Christopher Brooks,RB,GB,27.2
Ty Chandler,RB,MIN,26.7
Oronde Gadsden,TE,LAC,50.9
Zach Pascal,WR,NYG,2.8
Irvin Charles,WR,NYJ,2.7
Rakim Jarrett,WR,TB,2.7
Mike Strachan,WR,WAS,2.7
Samori Toure,WR,CHI,2.6
Marquez Callaway,WR,TB,2.6
Lance McCutcheon,WR,PIT,2.5
Quez Watkins,WR,ARI,2.5
AJ Barner,TE,SEA,50.1
Damien Martinez,RB,SEA,24.5
Phil Mafah,RB,DAL,24.3
Gunnar Helm,TE,TEN,48.9
Ben Sinnott,TE,WAS,48.8
Justyn Ross,WR,KC,0.4
Tejhaun Palmer,WR,ARI,0.3
Andre Baccellia,WR,ARI,0
Mitchell Tinsley,WR,CIN,0
A.T. Perry,WR,DEN,0
Tom Kennedy,WR,DET,0
Ronnie Bell,WR,DET,0
Josh Oliver,TE,MIN,47.7
Darnell Washington,TE,PIT,47.6
Craig Reynolds,RB,DET,21.9
Alec Ingold,RB,MIA,21.4
Luke Musgrave,TE,GB,45.2
Kenny McIntosh,RB,SEA,20.4
Tyler Badie,RB,DEN,20.1
Dare Ogunbowale,RB,HOU,19.6
Michael Carter,RB,ARI,18.9
Tommy Tremble,TE,CAR,42.5
Jase McClellan,RB,ATL,15.3
Elijah Higgins,TE,ARI,39.6
Zamir White,RB,LV,14.7
LeQuint Allen,RB,JAC,14.6
Luke Schoonmaker,TE,DAL,39.1
Drew Sample,TE,CIN,39.1
Cade Stover,TE,HOU,38.9
Carson Steele,RB,KC,14.2
Patrick Taylor,RB,SF,13.8
Spencer Shrader,K,IND,35.6
C.J. Ham,RB,MIN,13.1
Chris Rodriguez,RB,WAS,12.7
Tyler Goodson,RB,IND,12.3
Sione Vaki,RB,DET,11.9
Clyde Edwards-Helaire,RB,NO,11.9
Grant Calcaterra,TE,PHI,36.3
Matthew Wright,K,CAR,33.8
Kimani Vidal,RB,LAC,11.5
Hassan Haskins,RB,LAC,11.4
Brock Wright,TE,DET,35.8
Pierre Strong,RB,CLE,11.1
Julius Chestnut,RB,TEN,10.2
Julian Hill,TE,MIA,34.5
Maddux Trujillo,K,IND,31.9
Patrick Ricard,RB,BAL,9.5
Rasheen Ali,RB,BAL,9.4
Tre Stewart,RB,MIN,9
Jeremy Ruckert,TE,NYJ,33.3
Tyler Shough,QB,NO,164.7
Josh Whyle,TE,TEN,33
Ryan Fitzgerald,K,CAR,30.4
Deuce Vaughn,RB,DAL,7.9
Velus Jones,RB,NO,7.6
Eric Gray,RB,NYG,7.4
Travis Homer,RB,CHI,7.2
Anders Carlson,K,NYJ,29.3
DeeJay Dallas,RB,ARI,6.5
Ronnie Rivers,RB,LA,6.1
Keilan Robinson,RB,JAC,5.6
Dylan Laube,RB,LV,5.5
Aaron Shampklin,RB,PIT,5.4
Caden Davis,K,NYJ,27.3
Blake Watson,RB,DEN,4.9
Israel Abanikanda,RB,SF,4.9
Raheem Blackshear,RB,CAR,4.4
Cody Schrader,RB,LA,4.1
Carlos Washington Jr.,RB,ATL,4
Evan Hull,RB,PIT,3.7
DJ Williams,RB,TB,3.7
Malik Davis,RB,DAL,3.4
British Brooks,RB,HOU,3.3
Jawhar Jordan,RB,HOU,3.3
Keaontay Ingram,RB,KC,3.3
Terrell Jennings,RB,NE,3.3
Jabari Small,RB,TEN,3.3
Kene Nwangwu,RB,NYJ,3.1
Tanner Hudson,TE,CIN,27.7
George Holani,RB,SEA,3
Zach Evans,RB,NYJ,2.8
Jordan Mims,RB,NO,2.7
Lew Nichols,RB,PHI,2.7
Charlie Woerner,TE,ATL,27.3
Colby Parkinson,TE,LA,27.1
Taysom Hill,TE,NO,26.6
Salvon Ahmed,RB,IND,1.8
Jaret Patterson,RB,LAC,1.8
Dante Miller,RB,NYG,1.8
Mitchell Evans,TE,CAR,26.2
Darrynton Evans,RB,BUF,1.1
John Bates,TE,WAS,25.5
Johnny Mundt,TE,JAC,25.4
Avery Williams,RB,PHI,0.2
Troy Hairston,RB,CLE,0
Xazavian Valladay,RB,NO,0
Jonathan Ward,RB,PIT,0
Jonathon Brooks,RB,CAR,0
Payne Durham,TE,TB,24.6
Daniel Bellinger,TE,NYG,23.6
Adam Trautman,TE,DEN,22.3
Brevin Jordan,TE,HOU,22
Luke Farrell,TE,SF,20.7
Tip Reiman,TE,ARI,20.4
Stone Smartt,TE,NYJ,20.3
Mo Alie-Cox,TE,IND,20.2
Connor Heyward,TE,PIT,18.6
Charlie Kolar,TE,BAL,18.4
Hunter Long,TE,JAC,18.4
Kylen Granson,TE,PHI,17.3
Gavin Bartholomew,TE,MIN,16.5
Greg Dulcich,TE,NYG,16.1
Brevyn Spann-Ford,TE,DAL,15.6
Jared Wiley,TE,KC,15.1
Pharaoh Brown,TE,MIA,15.1
Nate Adkins,TE,DEN,14.5
Andrew Ogletree,TE,IND,14
Durham Smythe,TE,CHI,13.3
Blake Whiteheart,TE,CLE,11.7
Davis Allen,TE,LA,11.1
Lucas Krull,TE,DEN,10.1
Dallin Holker,TE,NO,8.5
Jackson Hawes,TE,BUF,7.5
Kenny Yeboah,TE,DET,7.3
Chris Manhertz,TE,NYG,7.1
Devin Culp,TE,TB,7
Jaheim Bell,TE,NE,6.9
Harrison Bryant,TE,PHI,6.8
Will Mallory,TE,IND,6.7
Ben Sims,TE,GB,6.6
Irv Smith Jr.,TE,HOU,6.6
Ian Thomas,TE,LV,6.6
Caleb Lohner,TE,DEN,6.5
Cameron Latu,TE,PHI,6.4
Robbie Ouzts,TE,SEA,5.5
Feleipe Franks,TE,ATL,5.4
Tanner Conner,TE,MIA,5.4
Tanner McLachlan,TE,CIN,5.3
Russell Wilson,QB,NYG,136.4
Colson Yankoff,TE,WAS,4.8
Erick All,TE,CIN,4.7
Jelani Woods,TE,IND,4.6
Justin Shorter,TE,LV,4.5
Shane Zylstra,TE,DET,4.4
Lenny Krieg,K,ATL,1.9
Brayden Willis,TE,SF,4.3
Jake Tonges,TE,SF,4.3
Jonathan Kim,K,CHI,1.7
Nick Muse,TE,PHI,4.1
Teagan Quitoriano,TE,ATL,4
John FitzPatrick,TE,GB,2.7
Ko Kieft,TE,TB,2.7
Jack Westover,TE,NE,2.6
Zack Kuntz,TE,NYJ,2.6
Eric Saubert,TE,SEA,2.5
Thomas Odukoya,TE,TEN,2.5
John Parker Romo,K,NE,0
Donald Parham Jr.,TE,PIT,2.4
Lawrence Cager,TE,WAS,2.4
Tucker Fisk,TE,LAC,2.2
Andrew Beck,TE,NYJ,1.8
Brenden Bates,TE,CLE,1.6
Zach Davidson,TE,BUF,1.5
David Martin-Robinson,TE,TEN,1.5
James Mitchell,TE,CAR,0.3
Luke Lachey,TE,HOU,0.3
Robert Tonyan,TE,KC,0.3
Jake Briningstool,TE,KC,0.3
Jaxson Dart,QB,NYG,112.2
Daniel Jones,QB,IND,92.9
Joe Flacco,QB,CLE,79.2
Kenny Pickett,QB,CLE,60.9
Shedeur Sanders,QB,CLE,51.2
Spencer Rattler,QB,NO,50.8
Jalen Milroe,QB,SEA,37.9
Dillon Gabriel,QB,CLE,33.6
Sam Howell,QB,MIN,31.2
Tyrod Taylor,QB,NYJ,31.1
Marcus Mariota,QB,WAS,27.7
Jake Browning,QB,CIN,26.7
Joshua Dobbs,QB,NE,25.3
Kirk Cousins,QB,ATL,24.5
Malik Willis,QB,GB,24.3
Joe Milton,QB,DAL,24.1
Will Levis,QB,TEN,24
Jacoby Brissett,QB,ARI,23.8
Cooper Rush,QB,BAL,23.6
Taylor Heinicke,QB,LAC,23.2
Zach Wilson,QB,MIA,23
Nick Mullens,QB,JAC,22.9
Gardner Minshew II,QB,KC,22.4
Jimmy Garoppolo,QB,LA,22.3
Jarrett Stidham,QB,DEN,22.2
Kyle Trask,QB,TB,22.2
Mac Jones,QB,SF,22.1
Andy Dalton,QB,CAR,21.8
Davis Mills,QB,HOU,21.2
Mason Rudolph,QB,PIT,20.9
Aidan O'Connell,QB,LV,20.8
Hendon Hooker,QB,DET,20.5
Tanner McKee,QB,PHI,19.9
Tyson Bagent,QB,CHI,18.5
Mitchell Trubisky,QB,BUF,15.5
Jameis Winston,QB,NYG,10.9
Quinn Ewers,QB,MIA,10.1
Jake Haener,QB,NO,8.4
Will Howard,QB,PIT,5.4
Deshaun Watson,QB,CLE,5
Case Keenum,QB,CHI,3.8
Riley Leonard,QB,IND,2.3
Drew Lock,QB,SEA,2.1
Mike White,QB,BUF,1.9
Dorian Thompson-Robinson,QB,PHI,1.3
Kyle McCord,QB,PHI,1.1
Trey Lance,QB,LAC,1
Bailey Zappe,QB,KC,0.8
Tommy DeVito,QB,NYG,0
Adrian Martinez,QB,NYJ,0
Skylar Thompson,QB,PIT,0
Jaren Hall,QB,SEA,0
Kurtis Rourke,QB,SF,0
Josh Johnson,QB,WAS,0
Clayton Tune,QB,ARI,0
Easton Stick,QB,ATL,0
Emory Jones,QB,ATL,0
Kyle Allen,QB,DET,0
Stetson Bennett,QB,LA,0
Cam Miller,QB,LV,0
Derek Carr,QB,NO,0
