player,position,team,projection
Rico Dowdle,RB,CAR,109.8
Brandon Aubrey,K,DAL,142.3
Kansas City Defense,DEF,KC,126.1
Matt Gay,K,WAS,142.2
San Francisco Defense,DEF,SF,126
Tyler Lockett,WR,TEN,106.4
Trey Benson,RB,ARI,108.4
Andrei Iosivas,WR,CIN,105.6
Jake Moody,K,SF,141.4
DeAndre Hopkins,WR,BAL,104.8
Ray Davis,RB,BUF,105
Calvin Austin,WR,PIT,101.5
Philadelphia Defense,DEF,PHI,123.3
Isaac Guerendo,RB,SF,102.6
Jalen Coker,WR,CAR,99.4
Tyler Bass,K,BUF,138.6
Younghoe Koo,K,ATL,138.5
Jake Elliott,K,PHI,138.5
Cameron Dicker,K,LAC,138.4
Pittsburgh Defense,DEF,PIT,122.2
Dallas Defense,DEF,DAL,122.1
Tutu Atwell,WR,LA,98.3
Baker Mayfield,QB,TB,275.4
Alec Pierce,WR,IND,98.1
Tre Tucker,WR,LV,97.6
Ka'imi Fairbairn,K,HOU,137.3
Kyler Murray,QB,ARI,274.6
Chase McLaughlin,K,TB,137.2
Noah Brown,WR,WAS,95.9
Dallas Goedert,TE,PHI,140.6
Jerome Ford,RB,CLE,97.9
Jake Ferguson,TE,DAL,140.4
Cincinnati Defense,DEF,CIN,120.3
Kareem Hunt,RB,KC,97.5
LA Chargers Defense,DEF,LAC,120
Jake Bates,K,DET,135.9
Evan McPherson,K,CIN,135.9
Joshua Karty,K,LA,135.8
Pat Freiermuth,TE,PIT,138.7
Dylan Sampson,RB,CLE,96
Bo Nix,QB,DEN,271.2
Diontae Johnson,WR,CLE,92.9
Brandin Cooks,WR,NO,92.5
Jason Sanders,K,MIA,134.3
Daniel Carlson,K,LV,134.2
NY Jets Defense,DEF,NYJ,118.9
Dalton Kincaid,TE,BUF,137.2
Tyler Warren,TE,IND,136.8
Chris Boswell,K,PIT,133.6
Devaughn Vele,WR,DEN,91.6
Tucker Kraft,TE,GB,136
Cam Little,K,JAC,132.9
Caleb Williams,QB,CHI,268.7
Houston Defense,DEF,HOU,117.8
Justice Hill,RB,BAL,92
Will Reichard,K,MIN,131
Wil Lutz,K,DEN,130.5
Nick Westbrook-Ikhine,WR,MIA,88.2
Brock Purdy,QB,SF,265.3
Tampa Bay Defense,DEF,TB,116.1
Detroit Defense,DEF,DET,116.1
Jaleel McLaughlin,RB,DEN,88.8
Kyle Pitts,TE,ATL,131.3
Jason Myers,K,SEA,127.5
Cleveland Defense,DEF,CLE,114.8
Green Bay Defense,DEF,GB,113.7
Justin Herbert,QB,LAC,262.1
Cairo Santos,K,CHI,126.1
Denver Defense,DEF,DEN,113.4
Zach Ertz,TE,WAS,128.7
Brenton Strange,TE,JAC,128.3
Miami Defense,DEF,MIA,112.6
Dontayvion Wicks,WR,GB,82.9
Atlanta Defense,DEF,ATL,112.3
Jalen Tolbert,WR,DAL,82.8
Seattle Defense,DEF,SEA,112.2
Cade Otton,TE,TB,127.1
Braelon Allen,RB,NYJ,84.4
Hunter Henry,TE,NE,126.6
Indianapolis Defense,DEF,IND,110.8
Chicago Defense,DEF,CHI,110.5
Troy Franklin,WR,DEN,80.6
Dyami Brown,WR,JAC,80.5
Jared Goff,QB,DET,258
Elic Ayomanor,WR,TEN,78.6
Audric Estime,RB,DEN,80.6
Drake Maye,QB,NE,255.9
Minnesota Defense,DEF,MIN,107.4
Graham Gano,K,NYG,119.7
Joey Slye,K,TEN,119.6
C.J. Stroud,QB,HOU,255.2
Jacksonville Defense,DEF,JAC,106.2
Chigoziem Okonkwo,TE,TEN,121.6
Jalen Nailor,WR,MIN,76.5
Trevor Lawrence,QB,JAC,254.2
Mike Gesicki,TE,CIN,121.3
Blake Grupe,K,NO,118.2
New Orleans Defense,DEF,NO,105.7
Jaylen Wright,RB,MIA,78.7
Mike Williams,WR,LAC,76.2
Dak Prescott,QB,DAL,254.1
Isaiah Likely,TE,BAL,120.9
LA Rams Defense,DEF,LA,105.2
Dustin Hopkins,K,CLE,117.2
Las Vegas Defense,DEF,LV,104.6
Jaylin Noel,WR,HOU,74.9
J.J. McCarthy,QB,MIN,252.8
NY Giants Defense,DEF,NYG,103.1
Washington Defense,DEF,WAS,102.8
New England Defense,DEF,NE,102.4
Kendre Miller,RB,NO,75.4
Dalton Schultz,TE,HOU,117.7
Adonai Mitchell,WR,IND,72.6
Curtis Samuel,WR,BUF,72.5
Roschon Johnson,RB,CHI,74.5
Miles Sanders,RB,DAL,74.5
Devin Neal,RB,NO,73.8
Allen Lazard,WR,NYJ,71.1
Blake Corum,RB,LA,73.2
Justin Fields,QB,NYJ,248.4
Jordan Love,QB,GB,248.3
Jordan Whittington,WR,LA,69.1
KaVontae Turpin,WR,DAL,68.9
Carolina Defense,DEF,CAR,98.3
Jalen Royals,WR,KC,68.2
Will Shipley,RB,PHI,69.9
Tennessee Defense,DEF,TEN,96.8
MarShawn Lloyd,RB,GB,69.4
Elijah Moore,WR,BUF,65.8
Tua Tagovailoa,QB,MIA,243.6
Zack Moss,RB,CIN,68.1
Malik Washington,WR,MIA,65.5
Arizona Defense,DEF,ARI,94.8
Demarcus Robinson,WR,SF,65.3
Jo'quavioius Marks,RB,HOU,67.2
Greg Dortch,WR,ARI,64.3
Marquez Valdes-Scantling,WR,SEA,64
Roman Wilson,WR,PIT,62.9
Mason Taylor,TE,NYJ,106.9
Theo Johnson,TE,NYG,106.2
Juwan Johnson,TE,NO,106.1
Pat Bryant,WR,DEN,60.9
Parker Washington,WR,JAC,60.3
Ty Johnson,RB,BUF,62
Tai Felton,WR,MIN,59.5
Michael Penix,QB,ATL,237.3
Isaac TeSlaa,WR,DET,58.9
Josh Reynolds,WR,NYJ,58.5
Jordan James,RB,SF,60.3
Jahan Dotson,WR,PHI,57.7
Isaiah Davis,RB,NYJ,60.1
Brashard Smith,RB,KC,59.9
Elijah Mitchell,RB,KC,59.6
Bryce Young,QB,CAR,234.9
Geno Smith,QB,LV,234.9
Matthew Stafford,QB,LA,234.2
Alexander Mattison,RB,MIA,58
Tory Horton,WR,SEA,55.4
Tim Patrick,WR,DET,54.3
Luke McCaffrey,WR,WAS,54
DJ Giddens,RB,IND,56.4
Chimere Dike,WR,TEN,53.5
Kayshon Boutte,WR,NE,52.9
Mack Hollins,WR,NE,52.8
Antonio Gibson,RB,NE,53.9
Raheem Mostert,RB,LV,53.6
Robert Woods,WR,PIT,50.4
Savion Williams,WR,GB,50
Van Jefferson,WR,TEN,49
Jaylin Lane,WR,WAS,48.7
Dont'e Thornton,WR,LV,48.5
Jarquez Hunter,RB,LA,49.5
Devin Singletary,RB,NYG,49.3
Cam Ward,QB,TEN,224.3
Keaton Mitchell,RB,BAL,47.4
Dameon Pierce,RB,HOU,46.5
Arian Smith,WR,NYJ,43.4
Ja'Tavion Sanders,TE,CAR,87.8
Olamide Zaccheaus,WR,CHI,42.4
Sam Darnold,QB,SEA,220.1
Kenneth Gainwell,RB,PIT,44
Jalin Hyatt,WR,NYG,40.5
Ollie Gordon,RB,MIA,42.7
Sean Tucker,RB,TB,41.7
Emanuel Wilson,RB,GB,40.7
Noah Fant,TE,SEA,82.9
Samaje Perine,RB,CIN,39.7
Kyle Monangai,RB,CHI,39.7
Khalil Herbert,RB,IND,38.8
Kalel Mullings,RB,TEN,38.6
Kyle Juszczyk,RB,SF,38.3
Emari Demercado,RB,ARI,38.2
JuJu Smith-Schuster,WR,KC,35.7
Kalif Raymond,WR,DET,35.7
Malachi Corley,WR,NYJ,35.5
Tyler Higbee,TE,LA,79.6
AJ Dillon,RB,PHI,36.8
Jordan Watkins,WR,SF,33.1
Sincere McCormick,RB,LV,35.4
Trevor Etienne,RB,CAR,35.3
Jermaine Burton,WR,CIN,32.8
KeAndre Lambert-Smith,WR,LAC,32.8
Treylon Burks,WR,TEN,31.9
Noah Gray,TE,KC,76.3
Zay Jones,WR,ARI,31
Jake Bobo,WR,SEA,30.5
Tahj Brooks,RB,CIN,32.8
Tyler Conklin,TE,LAC,75.1
Terrance Ferguson,TE,LA,75
Harold Fannin,TE,CLE,74.7
Johnny Wilson,WR,PHI,29.1
Jimmy Horn,WR,CAR,29
Andres Borregales,K,NE,70.7
Damien Martinez,RB,SEA,31.2
Brandon McManus,K,GB,70.3
Elijah Arroyo,TE,SEA,73.2
Will Dissly,TE,LAC,72.9
Michael Woods,WR,CLE,27.6
Cole Kmet,TE,CHI,72.5
KhaDarel Hodge,WR,ATL,27.4
Dare Ogunbowale,RB,HOU,29.8
Rondale Moore,WR,MIN,27.3
Tez Johnson,WR,TB,26.6
Tyler Loop,K,BAL,68.3
Chad Ryland,K,ARI,68.2
Jeremy McNichols,RB,WAS,28.6
Christian Watson,WR,GB,26
Cedrick Wilson,WR,NO,25.6
Ty Chandler,RB,MIN,27.7
Phil Mafah,RB,DAL,27.5
Austin Hooper,TE,NE,69.5
Jacory Croskey-Merritt,RB,WAS,26.6
Jacob Cowing,WR,SF,24.1
Greg Zuerlein,K,NYJ,65.7
Bub Means,WR,NO,23.1
Jamari Thrash,WR,CLE,22.7
Tyler Johnson,WR,NYJ,21.9
Xavier Gipson,WR,NYJ,21.7
Kendrick Bourne,WR,NE,21.6
Michael Mayer,TE,LV,66.3
Jonathan Mingo,WR,DAL,21.1
Derius Davis,WR,LAC,20.9
Tyler Badie,RB,DEN,22.8
Christopher Brooks,RB,GB,22.5
Michael Carter,RB,ARI,22.2
Craig Reynolds,RB,DET,22.1
Cordarrelle Patterson,RB,PIT,22.1
Jonathon Brooks,RB,CAR,21.5
K.J. Osborn,WR,WAS,18.8
Dawson Knox,TE,BUF,63.8
Alec Ingold,RB,MIA,20.9
Trent Sherfield,WR,DEN,18.4
Sterling Shepard,WR,TB,17.1
Hunter Renfrow,WR,CAR,17
Ben Skowronek,WR,PIT,16.1
Zamir White,RB,LV,18
Ja'Lynn Polk,WR,NE,15.5
John Metchie,WR,HOU,15.4
Foster Moreau,TE,NO,60.4
Lil'Jordan Humphrey,WR,NYG,15
Ryan Flournoy,WR,DAL,15
Michael Gallup,WR,WAS,14.9
Anthony Richardson,QB,IND,192.7
Konata Mumpfield,WR,LA,14.4
Kenny McIntosh,RB,SEA,16
David Moore,WR,CAR,13.2
Nathaniel Dell,WR,HOU,13.2
Justin Watson,WR,HOU,13.1
Clyde Edwards-Helaire,RB,NO,15.4
Devontez Walker,WR,BAL,12.7
Ricky White,WR,SEA,12.7
Javon Baker,WR,NE,12.3
Isaiah Williams,WR,CIN,12.2
LeQuint Allen,RB,JAC,14.6
Brandon Johnson,WR,PIT,12
DeAndre Carter,WR,CLE,11.8
Carson Steele,RB,KC,14.1
Patrick Taylor,RB,SF,13.9
Hassan Haskins,RB,LAC,13.9
Tylan Wallace,WR,BAL,11.4
Gunnar Helm,TE,TEN,56
Scotty Miller,WR,PIT,10.8
Jase McClellan,RB,ATL,13.2
C.J. Ham,RB,MIN,13.1
Tyler Goodson,RB,IND,13.1
Devin Duvernay,WR,CHI,10.4
Bo Melton,WR,GB,10.4
Ashton Dulin,WR,IND,10.2
Chris Rodriguez,RB,WAS,12.5
Russell Gage,WR,SF,9.8
Sione Vaki,RB,DET,12.2
Charlie Jones,WR,CIN,9.7
Jalen Brooks,WR,DAL,9.3
Parris Campbell,WR,DAL,9
Trey Palmer,WR,TB,8.8
Pierre Strong,RB,CLE,11.1
Kimani Vidal,RB,LAC,11.1
Julius Chestnut,RB,TEN,10.1
Laviska Shenault,WR,BUF,7.6
Terrace Marshall,WR,PHI,7.6
Kaden Prather,WR,BUF,7.5
Ihmir Smith-Marsette,WR,NYG,7.5
David Bell,WR,CLE,7.5
Simi Fehoko,WR,ARI,7.4
Xavier Smith,WR,LA,7.4
Austin Trammell,WR,JAC,7.3
Tommy Mellott,WR,LV,7.2
Tyquan Thornton,WR,KC,7
Jha'Quan Jackson,WR,TEN,7
Tim Jones,WR,MIN,7
AJ Barner,TE,SEA,52
Patrick Ricard,RB,BAL,9.4
Rasheen Ali,RB,BAL,9.4
Tyler Scott,WR,CHI,6.9
Kyle Philips,WR,LV,6.8
Velus Jones,RB,NO,9.2
Tyler Shough,QB,NO,184.6
Tre Stewart,RB,MIN,9.1
Ainias Smith,WR,PHI,6.6
LaJohntay Wester,WR,BAL,6.3
D'Wayne Eskridge,WR,MIA,6.3
Xavier Weaver,WR,ARI,6.2
Xavier Hutchinson,WR,HOU,6.2
Mecole Hardman,WR,GB,6.1
Malik Heath,WR,GB,5.9
Skyy Moore,WR,KC,5.8
Travis Homer,RB,CHI,7.7
Joshua Cephus,WR,JAC,5.1
Erik Ezukanma,WR,MIA,5.1
Kevin Austin,WR,NO,5.1
Jalen Reagor,WR,LAC,5
Junior Bergen,WR,SF,5
Jordan Mims,RB,NO,7.4
Dominic Lovett,WR,DET,4.9
Mason Tipton,WR,NO,4.9
Chris Moore,WR,WAS,4.9
Nikko Remigio,WR,KC,4.8
Anthony Gould,WR,IND,4.8
Tahj Washington,WR,MIA,4.8
K.J. Hamler,WR,BUF,4.7
Laquon Treadwell,WR,IND,4.7
Brenden Rice,WR,LAC,4.6
Ryan Miller,WR,TB,4.6
D.J. Montgomery,WR,IND,4.5
Bryce Ford-Wheaton,WR,NYG,4.5
Dareke Young,WR,SEA,4.5
Collin Johnson,WR,LV,4.5
Gunner Olszewski,WR,NYG,4.4
Steven Sims,WR,SEA,4.4
Kameron Johnson,WR,TB,4.4
Colton Dowell,WR,TEN,4.4
Casey Washington,WR,ATL,4.3
River Cracraft,WR,SEA,4.3
DeeJay Dallas,RB,ARI,6.4
Ben Sinnott,TE,WAS,48.9
Israel Abanikanda,RB,SF,6.1
Ronnie Rivers,RB,LA,6.1
Carlos Washington Jr.,RB,ATL,6
Deuce Vaughn,RB,DAL,6
Blake Watson,RB,DEN,5.6
Eric Gray,RB,NYG,5.5
Dylan Laube,RB,LV,5.5
Keilan Robinson,RB,JAC,5.4
Aaron Shampklin,RB,PIT,5.4
Rakim Jarrett,WR,TB,2.8
Samori Toure,WR,CHI,2.7
Marquez Callaway,WR,TB,2.7
Irvin Charles,WR,NYJ,2.7
Mike Strachan,WR,WAS,2.7
Luke Musgrave,TE,GB,47.7
A.T. Perry,WR,DEN,2.6
Lance McCutcheon,WR,PIT,2.5
Zach Pascal,WR,NYG,2.5
Quez Watkins,WR,ARI,2.5
Raheem Blackshear,RB,CAR,4.5
Cody Schrader,RB,LA,4.1
Evan Hull,RB,PIT,3.7
DJ Williams,RB,TB,3.7
Malik Davis,RB,DAL,3.4
Terrell Jennings,RB,NE,3.3
Jawhar Jordan,RB,HOU,3.3
British Brooks,RB,HOU,3.3
Keaontay Ingram,RB,KC,3.3
Jabari Small,RB,TEN,3.3
George Holani,RB,SEA,3
Tommy Tremble,TE,CAR,45.5
Kene Nwangwu,RB,NYJ,2.9
Justyn Ross,WR,KC,0.4
Zach Evans,RB,NYJ,2.8
Lew Nichols,RB,PHI,2.7
Andre Baccellia,WR,ARI,0
Tom Kennedy,WR,DET,0
Ronnie Bell,WR,DET,0
Tejhaun Palmer,WR,ARI,0
Salvon Ahmed,RB,IND,2.4
Dante Miller,RB,NYG,1.8
Jaret Patterson,RB,LAC,1.8
Avery Williams,RB,PHI,1.4
Oronde Gadsden,TE,LAC,43.6
Darrynton Evans,RB,BUF,0.3
Troy Hairston,RB,CLE,0
Xazavian Valladay,RB,NO,0
Jonathan Ward,RB,PIT,0
Darnell Washington,TE,PIT,41.9
Luke Schoonmaker,TE,DAL,40.9
Josh Oliver,TE,MIN,40.2
Elijah Higgins,TE,ARI,40.1
Spencer Shrader,K,IND,35.6
Drew Sample,TE,CIN,38.6
Matthew Wright,K,CAR,33.8
Grant Calcaterra,TE,PHI,36.1
Maddux Trujillo,K,IND,31.9
Brock Wright,TE,DET,33.6
Jeremy Ruckert,TE,NYJ,33.5
Ryan Fitzgerald,K,CAR,30.4
Cade Stover,TE,HOU,33
Anders Carlson,K,NYJ,28.9
Taysom Hill,TE,NO,31.7
Julian Hill,TE,MIA,30.4
Caden Davis,K,NYJ,27.2
Josh Whyle,TE,TEN,29.9
Tanner Hudson,TE,CIN,27.8
Colby Parkinson,TE,LA,27.2
Payne Durham,TE,TB,27
Johnny Mundt,TE,JAC,25.3
Adam Trautman,TE,DEN,24.7
Mitchell Evans,TE,CAR,24.5
Charlie Woerner,TE,ATL,24.3
Brevin Jordan,TE,HOU,24.1
Stone Smartt,TE,NYJ,23.2
Luke Farrell,TE,SF,23.2
John Bates,TE,WAS,22.6
Mo Alie-Cox,TE,IND,21.6
Kylen Granson,TE,PHI,20.5
Daniel Bellinger,TE,NYG,19.8
Gavin Bartholomew,TE,MIN,19.5
Hunter Long,TE,JAC,18.7
Tip Reiman,TE,ARI,18.1
Connor Heyward,TE,PIT,17.9
Greg Dulcich,TE,NYG,17
Lucas Krull,TE,DEN,17
Nate Adkins,TE,DEN,16.9
Jared Wiley,TE,KC,15.2
Pharaoh Brown,TE,MIA,15
Charlie Kolar,TE,BAL,14.8
Andrew Ogletree,TE,IND,13.8
Durham Smythe,TE,CHI,13.4
Blake Whiteheart,TE,CLE,11.9
Davis Allen,TE,LA,11.1
Brevyn Spann-Ford,TE,DAL,9.9
Dallin Holker,TE,NO,8.6
Jackson Hawes,TE,BUF,7.7
Feleipe Franks,TE,ATL,7.2
Kenny Yeboah,TE,DET,7.2
Jelani Woods,TE,IND,7.1
Chris Manhertz,TE,NYG,7.1
Caleb Lohner,TE,DEN,7.1
Devin Culp,TE,TB,7
Jaheim Bell,TE,NE,7
Harrison Bryant,TE,PHI,6.8
Will Mallory,TE,IND,6.7
Ben Sims,TE,GB,6.6
Cameron Latu,TE,PHI,6.4
Lenny Krieg,K,ATL,2.7
Robbie Ouzts,TE,SEA,5.5
Tanner Conner,TE,MIA,5.4
Donald Parham Jr.,TE,PIT,5.4
Irv Smith Jr.,TE,HOU,4.9
Tanner McLachlan,TE,CIN,4.8
Colson Yankoff,TE,WAS,4.8
Jonathan Kim,K,CHI,1.7
Justin Shorter,TE,LV,4.5
Ian Thomas,TE,LV,4.4
Brayden Willis,TE,SF,4.4
Shane Zylstra,TE,DET,4.4
Jake Tonges,TE,SF,4.3
Erick All,TE,CIN,4.2
Nick Muse,TE,PHI,4.1
Teagan Quitoriano,TE,ATL,4
Zack Kuntz,TE,NYJ,3.9
John Parker Romo,K,NE,0
John FitzPatrick,TE,GB,2.7
Ko Kieft,TE,TB,2.7
Jack Westover,TE,NE,2.6
Thomas Odukoya,TE,TEN,2.5
Eric Saubert,TE,SEA,2.5
Lawrence Cager,TE,WAS,2.4
Tucker Fisk,TE,LAC,2.2
Brenden Bates,TE,CLE,1.6
David Martin-Robinson,TE,TEN,1.5
Robert Tonyan,TE,KC,0.3
Jake Briningstool,TE,KC,0.3
Luke Lachey,TE,HOU,0.3
James Mitchell,TE,CAR,0.3
Russell Wilson,QB,NYG,122.4
Jaxson Dart,QB,NYG,119.7
Aaron Rodgers,QB,PIT,115.5
Daniel Jones,QB,IND,97.1
Joe Flacco,QB,CLE,85.8
Mason Rudolph,QB,PIT,83.2
Shedeur Sanders,QB,CLE,53.4
Kenny Pickett,QB,CLE,45.2
Dillon Gabriel,QB,CLE,39.4
Jalen Milroe,QB,SEA,39
Spencer Rattler,QB,NO,35.6
Will Howard,QB,PIT,35.3
Tyrod Taylor,QB,NYJ,33.2
Kirk Cousins,QB,ATL,28.9
Sam Howell,QB,MIN,26.4
Marcus Mariota,QB,WAS,23.6
Zach Wilson,QB,MIA,22.3
Joshua Dobbs,QB,NE,22.2
Jake Browning,QB,CIN,21.6
Jacoby Brissett,QB,ARI,21.4
Joe Milton,QB,DAL,21.2
Aidan O'Connell,QB,LV,21
Nick Mullens,QB,JAC,20.8
Andy Dalton,QB,CAR,20.5
Will Levis,QB,TEN,20.4
Mac Jones,QB,SF,20.3
Jimmy Garoppolo,QB,LA,19.8
Malik Willis,QB,GB,19.4
Jarrett Stidham,QB,DEN,19
Kyle Trask,QB,TB,19
Taylor Heinicke,QB,LAC,18.3
Mitchell Trubisky,QB,BUF,17.9
Cooper Rush,QB,BAL,17.9
Davis Mills,QB,HOU,17.5
Hendon Hooker,QB,DET,17.4
Gardner Minshew II,QB,KC,17.3
Jameis Winston,QB,NYG,14.8
Tanner McKee,QB,PHI,14.6
Tyson Bagent,QB,CHI,13.9
Case Keenum,QB,CHI,4.3
Deshaun Watson,QB,CLE,3.5
Quinn Ewers,QB,MIA,3.2
Jake Haener,QB,NO,2.8
Kyle McCord,QB,PHI,2.8
Drew Lock,QB,SEA,2.1
Trey Lance,QB,LAC,1.5
Dorian Thompson-Robinson,QB,PHI,1.3
Bailey Zappe,QB,KC,0.8
Clayton Tune,QB,ARI,0
Easton Stick,QB,ATL,0
Riley Leonard,QB,IND,0
Emory Jones,QB,ATL,0
Cam Miller,QB,LV,0
Mike White,QB,BUF,0
Stetson Bennett,QB,LA,0
Tommy DeVito,QB,NYG,0
Kurtis Rourke,QB,SF,0
Skylar Thompson,QB,PIT,0
Kyle Allen,QB,DET,0
Derek Carr,QB,NO,0
Adrian Martinez,QB,NYJ,0
Jaren Hall,QB,SEA,0
Josh Johnson,QB,WAS,0
